Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,,,,,,,,,,,,,,,
8/6/25,Bella,A,10:46 AM,AM,3,AM,3,AT,actor,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,12:43 AM,AM,3,AM5,3,CH,actor,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,11:21 AM,AM,2,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,10:46 AM,AM,3,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,12:40 AM,AM5,3,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,12:40 AM,AM5,3,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,12:41 AM,AM5,3,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,9:56 AM,AM8,2,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,8:44 AM,AM,3,AM3,2,TH,actor,Y,,,,,,,,,,,,,,,
8/7/25,Casey,A,8:43,AM5,3,AM,2,DP,Actor,Y,,,,,,,,,,,,,,,
8/8/25,Kamryn,A,8:03,AM3,2,AM,2,CH,ACTOR,Y,,,,,,,,,,,,,,,
8/8/25,Kamryn,A,8:22,AM8,2,AM7,3,CH,ACTOR,Y,,,,,,,,,,,,,,,
8/8/25,Kamryn,A,8:02,AM3,2,AM,2,TH,ACTOR,Y,,,,,,,,,,,,,,,
8/8/25,Kamryn,A,8:22,AM8,2,AM7,3,TH,ACTOR,Y,,,,,,,,,,,,,,,
8/11/25,Casey,A,9:26,AM,3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
8/11/25,Casey,A,11:00,Damaged AM,1,AM,3,TH,Actor,Y,,,,,,,,,,,,,,,
8/11/25,Bella,B,9:30 AM,AM6,3,AM1,3,TH,recipient,Y,,,,,,,,,,,,,,,
